run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2,Iscaled,sigmascaled,normalized_residual
4,0,-3,-5,22.801737,205.86733,581.28138,0,0.23119697,0.90002237,0,237.05208,7.9673828,922.81564,961.997,947,0.21787709,5,21015.196,922.81564,478719.72,208.02121,7.2490779,-1.2621036
4,0,-2,-6,-2.6290723,208.43801,556.093,0,0.23041308,0.91543514,0,3258.492,28.767451,12946.045,13063.022,13018,0.6424581,5,-34932.061,12946.045,96060.052,2859.4368,24.893015,0.43110785
4,0,-2,-5,7.4167676,225.60667,537.49194,0,0.200174,0.93235038,0,168.10751,6.3108899,782.99432,864.02076,832,0.42613636,5,5768.1889,782.99432,42610.244,147.52002,5.4595303,0.53413406
4,0,-2,-4,20.504447,239.50139,519.72685,0,0.17505197,0.94644118,0,69.404502,4.1282376,375.24444,498.1758,450,0.64444444,5,7721.1111,375.24444,158929.09,60.904795,3.8785676,-2.0235359
4,0,-1,-3,8.0523226,268.23018,464.45619,0,0.12141006,0.97812486,0,124.30293,4.2183745,1001.4309,1154.9669,1095,0.80662983,5,8091.2334,1002.5028,65398.347,109.08002,3.7045144,-0.50449831
4,1,-4,-6,4.693281,246.56328,703.88405,0,0.13958889,0.83533454,0,49.843563,3.0682233,298.27624,337.12667,322,0.20994475,7,1389.1215,298.27624,6557.6699,43.73941,2.6510409,0.17637607
4,1,-4,-5,22.632342,240.25616,677.93441,0,0.15398854,0.85054896,0,73.806782,3.7935739,407.66854,439.05501,427,0.1741573,6,9182.0716,407.66854,206954.35,64.767945,3.316174,0.40506153
4,1,-3,-5,2.7671831,272.54013,624.59567,0,0.10232931,0.89332493,0,36.12921,2.2054885,315.40449,370.70496,349,0.29213483,7,878.17697,315.40449,2576.5471,31.704603,1.9851369,-0.4819198
4,1,-2,-3,17.957734,306.77701,540.75382,0,0.042164957,0.95039204,0,756.17616,5.8349679,17044.101,17297.335,17199,1.3707865,12,307355.83,17044.101,5561667.1,663.57013,5.3353245,-1.6867086
4,-2,1,11,-0.039692516,531.07795,55.928232,1,0.32457083,0.78936438,0,128.488,7.7552715,312.48603,355.73787,339,0.23463687,5,-11.962291,312.48603,38.589036,112.41611,6.8654144,-0.19169865
4,-2,1,12,3.2709617,556.08479,28.684919,1,0.35391785,0.76087889,0,127.11483,8.4059456,273.2809,326.5873,306,0.29213483,5,908.63764,275.31461,3033.4824,111.2147,7.3971042,-0.16933528
4,-1,-1,16,0.080334413,761.80942,79.123165,1,0.65760664,0.65558468,0,50.856369,8.3379102,50.7,69.093889,62,0.1,5,3.5291667,53.094444,4.6211806,44.495013,7.3011458,0
4,-1,0,13,-0.82253125,636.62749,114.44883,1,0.51087495,0.75220598,0,18.224367,5.1833261,26.833333,58.24537,46,0.16666667,5,-21.833333,29.055556,17.46875,15.944776,5.0015093,-0.78327958
4,-1,0,14,2.126789,664.96949,87.786935,1,0.5393861,0.72119543,0,44.017796,7.0300521,58.854749,88.353453,77,0.16201117,5,132.81564,60.111732,298.63408,38.51184,6.1499362,0.029729605
4,-1,0,15,5.0446097,695.10898,57.610021,1,0.56470411,0.6901529,0,87.732486,9.7692266,107.22222,142.55062,129,0.19444444,5,556.71111,110.57778,2812.8444,76.758489,8.5166357,0.14040842
4,-1,0,16,7.9575499,727.59624,22.884143,1,0.58641502,0.65956374,0,1.4354667,3.6853788,1.6145251,17.18176,11,0.083798883,5,40.891061,4.9944134,335.17528,1.2559117,3.224744,0
4,-1,1,6,-2.5813549,426.26837,204.52031,1,0.17952812,0.9280585,0,38.392052,3.2159818,198.46512,276.38399,245,0.40116279,5,-516.89535,198.55814,1367.4797,33.589791,2.5971439,2.7161006
4,-1,1,7,-0.99291379,451.7662,187.74403,1,0.22246447,0.90820448,0,492.12884,11.159966,2009.1011,2075.7341,2050,0.36516854,5,-1961.4944,2009.1011,2136.6362,430.57102,9.7098746,0.34287036
4,-1,1,8,0.79413326,476.95432,170.14162,1,0.26388085,0.8858818,0,344.82557,10.363921,1157.6236,1210.5536,1190,0.28651685,5,875.08287,1157.6236,805.87956,301.69314,8.7887677,1.0818521
4,-1,1,9,2.709658,502.03569,151.46403,1,0.30357242,0.86134151,0,334.77846,11.163599,949.88398,1003.3087,983,0.29834254,5,2570.7472,949.88398,7069.7241,292.90277,9.6738677,0.56874344
4,-1,1,10,4.7213417,527.21234,131.41788,1,0.34130738,0.83486814,0,177.52149,8.9832793,434.23333,482.85222,464,0.26111111,5,2043.5,435.2,9649.5167,155.31626,7.6857407,0.26070393
4,-1,1,11,6.8139512,552.69744,109.6484,1,0.3768297,0.80677969,0,20.182449,4.1505648,43.209945,78.964897,65,0.1878453,5,297.80801,43.209945,2058.6896,17.657933,3.4888159,0.59085706
4,-1,1,12,8.9812166,578.72685,85.715341,1,0.40985722,0.77742765,0,1.4922345,2.6946974,2.8305085,26.126113,17,0.12429379,5,43.474576,4.9152542,384.81568,1.3055787,2.442283,-0.61871402
