run,h,k,l,omega,x,y,module,Linv,polarization,scan_edge,I,sigma,Iraw_net,var_raw,raw_counts,bg_sum,nframes,weighted_omega,sum_pos,weighted_omega2
1,1,1,-11,5.4077701,40.936184,178.13693,0,0.50503738,0.80677969,0,12.2648,3.7375144,19.592593,35.647462,31,0.17283951,5,114.62037,20.925926,629.30787
1,1,1,-10,6.0690571,68.01088,204.13585,0,0.47284942,0.83486814,0,157.24854,9.8427118,277.63975,302.0088,295,0.26708075,5,1687.809,279.86957,10207.569
1,1,1,-9,6.3959988,93.324887,227.90458,0,0.43905654,0.86134151,0,287.22147,12.361963,563.47134,588.14544,581,0.27388535,5,3559.6194,563.47134,22557.195
1,1,1,-8,6.3053713,117.1248,249.90551,0,0.4040433,0.8858818,0,296.6021,11.863573,650.3125,676.5918,669,0.2875,5,4070.0078,650.40625,25526.088
1,1,1,-7,5.678481,139.57325,270.51083,0,0.3682345,0.90820448,0,410.12223,13.117486,1011.5153,1046.6936,1037,0.41104294,5,5716.2132,1011.5153,32395.146
1,1,1,-6,4.3442497,160.74837,290.02686,0,0.33212912,0.9280585,0,34.313254,4.0782101,95.880503,129.86017,120,0.37106918,5,411.92296,95.880503,1788.8416
1,1,1,-5,2.0538869,180.62888,308.71131,0,0.29635361,0.94522626,0,613.46711,14.069694,1956.6667,2013.8189,1998,0.66666667,5,4041.7654,1956.6667,8526.0077
1,1,1,-4,-1.5541346,199.0594,326.78523,0,0.26174794,0.95952367,0,222.38002,8.0324379,815.20755,867.04094,852,0.56603774,5,-1330.6824,815.20755,2274.7712
1,1,1,-3,-6.9909957,215.68816,344.44058,0,0.22950075,0.9708001,1,877.52912,14.486988,3711.9938,3755.3255,3743,0.48447205,3,-25026.551,3711.9938,168748.37
1,1,1,-2,-14.913748,229.87547,361.84345,0,0.20133457,0.97893837,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-12,-8.2736927,8.9666999,113.04685,0,0.52508716,0.76181418,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-11,-8.1003727,36.63727,144.28613,0,0.49947517,0.79034937,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-10,-8.3125959,61.991355,172.28375,0,0.47228128,0.81769199,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-9,-8.9806835,85.313115,197.71655,0,0.44400671,0.84349057,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-8,-10.195328,106.77455,221.1113,0,0.41519697,0.86742709,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-7,-12.071209,126.44539,242.88708,0,0.38646908,0.88921704,1,0,0,0,0,0,0,0,0,0,0
1,1,2,-6,-14.748904,144.29313,263.38417,0,0.35854365,0.90860936,1,0,0,0,0,0,0,0,0,0,0
1,2,-3,-7,45.860214,26.040039,413.48377,0,0.56287558,0.8397273,1,0,0,0,0,0,0,0,0,0,0
1,2,-3,-6,48.217058,51.214663,431.62247,0,0.52431608,0.85786032,1,0,0,0,0,0,0,0,0,0,0
1,2,-2,-9,34.608396,7.5829274,348.83626,0,0.58843857,0.82504789,0,146.06202,10.736402,204.7931,226.60713,220,0.24137931,5,7190.15,207.70345,248918.63
1,2,-2,-8,36.626369,35.381223,368.36224,0,0.55019164,0.84834392,0,190.32507,11.384035,293.46341,308.11184,304,0.16463415,5,10744.39,293.46341,393400.48
1,2,-2,-7,38.599783,61.615321,387.02998,0,0.51062148,0.86956873,1,151.67174,9.5563783,258.29114,264.84778,263,0.075949367,3,9959.6551,258.29114,384064.15
1,2,-2,-6,40.522984,86.569981,405.09398,0,0.4699281,0.88847125,1,0,0,0,0,0,0,0,0,0,0
1,2,-2,-5,42.386536,110.48515,422.77611,0,0.42829941,0.90483391,1,0,0,0,0,0,0,0,0,0,0
1,2,-2,-4,44.175229,133.56916,440.27633,0,0.38590983,0.9184726,1,0,0,0,0,0,0,0,0,0,0
1,2,-2,-3,45.86454,156.01024,457.78133,0,0.34291651,0.92923668,1,0,0,0,0,0,0,0,0,0,0
1,2,-2,-2,47.413977,177.98853,475.47203,0,0.29945067,0.93700899,1,0,0,0,0,0,0,0,0,0,0
1,2,-2,-1,48.753518,199.69232,493.53074,0,0.25559868,0.94170586,1,0,0,0,0,0,0,0,0,0,0
