h,k,l,I,sigma,multiplicity,d,absent_212121,Fc2,weight,phase_rad
1,6,10,-0.5086354745202322,1.4588774555679809,2,0.7669055605018633,False,1.1242510867736524,0.46974181329695996,1.494627211239447
1,7,0,144.76520895843748,9.950479865779158,2,0.8439208593838641,False,137.58963027439776,0.008572843887448695,1.5707963267948954
1,7,1,46.91004137524299,4.241531718574068,4,0.8419420310153367,False,45.245489568886995,0.05030560354804165,2.807250195233538
1,7,2,12.379145503298538,2.4581187068235217,4,0.8360880343772243,False,13.96177661134638,0.16116613338719282,-1.914752368304104
1,7,3,30.133900260123987,3.2633272094941765,4,0.8265969851757771,False,22.89381465688355,0.0890812001640453,0.761049003241836
1,7,4,55.63620448045027,4.455268796002166,4,0.8138365935025682,False,48.27980666367209,0.04511459166889759,-1.5390067833167271
1,7,5,45.95114430888276,4.108298252466221,4,0.7982668041550681,False,43.24336161281048,0.05367083421478783,0.6526083915731914
1,7,7,12.172870886710731,3.163592788374739,2,0.7607518309000243,False,12.55015771618491,0.09854888602646751,-1.9431902587279584
2,0,0,4414.833152929186,179.32680731702612,1,2.8985151633201074,False,4236.536458979323,2.0505288708339687e-05,3.141592653589793
2,0,1,736.5043043582133,12.8500321414937,6,2.8212611176254714,False,768.8785105615127,0.0014655257102329752,-1.5707963267948972
2,0,2,264.4535269340542,5.999708421524631,5,2.621977777466321,False,227.1737200329032,0.011407213755117773,3.5743492647819603e-16
2,0,3,74.40696476247932,2.565536488284362,5,2.366912659219231,False,92.95671112370201,0.07485870061667435,1.5707963267948963
2,0,4,232.90569447275865,4.03608600597008,9,2.1093380597545828,False,250.08921048987483,0.014279313714102071,-1.0114060650712347e-15
2,0,5,737.7609425905811,11.849644881860732,8,1.875723436879308,False,726.6154601827394,0.0016117096969462303,1.5707963267948968
2,0,6,115.47312086180143,5.071219317100518,8,1.6738615466192992,False,119.16403428544969,0.026154200697029964,-3.1415926535897927
2,0,7,7.641875662305727,0.9777007686662414,8,1.5027583848881936,False,6.657287951995766,1.0001853743645717,-1.5707963267949052
2,0,8,118.21517650106526,3.316714435670686,8,1.3583989803669052,False,124.91619239897781,0.04073907980720789,2.095377500868678e-15
2,0,9,26.12060311318989,1.6332751188656678,8,1.2362963613478466,False,27.505234038404577,0.3006786848385191,-1.5707963267948983
2,0,10,48.86594574002788,2.7237357544709195,8,1.1324102167593937,False,43.53238052200418,0.10791614186430713,3.1415926535897882
2,0,11,86.2070361614447,3.3052625474305866,7,1.0433763758793448,False,93.22643081430594,0.054468838512518235,1.5707963267948928
2,0,12,24.89939699859953,2.1403341551364337,5,0.9664820163695422,False,22.267390821520586,0.1975058620946727,3.1415926535897913
2,0,13,13.56009062682874,2.4940443885097148,4,0.8995655446095677,False,17.10120970322035,0.155077659535135,-1.5707963267948961
2,0,14,17.274199574576112,2.056543809779358,5,0.8409082923957136,False,15.531244613265818,0.22406364486672345,-1.037912600509118e-15
2,0,15,146.27037389676744,8.37803161042653,3,0.7891398236511228,False,156.7296088971257,0.01094970648123139,-1.5707963267948974
2,1,0,4618.257457330175,76.2870137815868,6,2.6075318823323124,False,4597.603887943118,4.01592225727549e-05,3.141592653589793
2,1,1,78.72242015135046,1.336374345982556,14,2.5508583476303026,False,73.58622289257434,0.1451645079445738,-1.2818200067986836
2,1,2,827.0255502192992,10.27710838319521,12,2.400718664967592,False,805.9974135762577,0.0014275496257253018,-2.0062383651721656
2,1,3,241.2405784860461,3.4365228279921047,13,2.200345902163694,False,248.28561579179532,0.015095164381108138,0.04246613966981084
2,1,4,1408.502309589432,20.98707448270076,14,1.9888860568784352,False,1394.7807192783798,0.0004539619222384774,0.5988411593402229
2,1,5,21.129282074500107,1.1310685451373297,14,1.7895050377080617,False,25.478455703824178,0.5558801387840255,-2.9685306874973936
2,1,6,267.0784286720523,6.027869505941002,15,1.6117306146065142,False,261.68548940290145,0.010119797653487368,-0.4941857459520842
2,1,7,185.1987328219275,3.0586100346710903,17,1.4573140420198207,False,186.13565990581483,0.02473258545891911,2.4519569831299384
2,1,8,9.289116219054122,0.6802723607073711,16,1.3245551819639991,False,9.928864852827024,1.8257368570901975,-1.3593607072176752
2,1,9,70.83075461880566,2.147162370246993,15,1.210619666929896,False,69.6787660976469,0.11076396377935846,0.0031567358140764386
2,1,10,57.52607349719211,2.1059937484923474,12,1.1125788576823592,False,57.92595007273115,0.134387056627056,1.7915498888860448
2,1,11,102.77478556124436,2.883454706264539,10,1.0278030410882912,False,106.4744772877618,0.054697199460047724,-1.245517129551824
2,1,12,104.23639670521884,3.554376257984351,8,0.9540650327522432,False,97.31273512131699,0.046370521932160805,-2.5274219103114457
2,1,13,109.25743024405664,4.271251381127015,7,0.8895275027068115,False,115.03079273906305,0.033605145196683436,3.1204906488563213
2,1,14,48.93132326597311,3.8853681058001808,7,0.8326913293712944,False,45.91280418747001,0.058557138810574526,2.916834251104302
2,1,15,20.944105616622075,3.631521836328442,2,0.7823370616209744,False,22.338015673646304,0.07342926483919487,0.9446939794007685
2,2,0,2.313010301215824,0.7001984229855155,6,2.079641292625468,False,3.3473196816849624,2.0064539627967752,-1.4731310987303023e-14
2,2,1,412.7199032171645,6.130493014312275,10,2.0505469199387343,False,385.2592354971833,0.005630998611523016,0.9800456876225306
2,2,2,1444.2367028528463,30.15244036554259,10,1.9700835249700857,False,1413.3245466652538,0.00036586942577601243,-1.117693301737496
2,2,3,144.9158241997576,3.1859759873658318,8,1.854748909440259,False,131.67837542099917,0.037286859863722856,-2.20436043822033
2,2,4,117.65997040244856,2.74126345944836,9,1.722743055233172,False,108.88185162554903,0.053289479747579555,2.6189645014818694
2,2,5,6.3503556020586345,1.0829460673248692,12,1.5882703896344486,False,9.673166098899424,0.8072303069753415,-1.859366994614421
2,2,6,352.0488216940012,5.471286310380376,12,1.46004430333636,False,340.2002611784617,0.007324406336545817,2.42502426536193
2,2,7,144.5689037200908,2.913946792633641,13,1.3423057986108806,False,142.26761229538465,0.037168963729892555,-0.6747613970654979
2,2,8,168.37950877909202,5.646405332776229,13,1.2364316683709298,False,169.30750455923138,0.017365259785789275,-0.6209571949909143
2,2,9,131.83932475245726,4.135569733181965,13,1.1422362502602803,False,135.99523841853497,0.029930392760032856,-2.4501386680426096
2,2,10,3.9992775945244254,0.9305274272139672,9,1.0588044738885718,False,3.715703531840022,1.137724648919602,-2.1568353020709377
2,2,11,69.35329150032017,3.7485606937241154,5,0.9849597365624796,False,63.02163691343891,0.05596070560179653,1.5790880946001973
2,2,12,64.82433612871233,3.797012062539779,5,0.9195020725621964,False,63.10574342978799,0.055350248258296215,1.6027853136164112
2,2,13,70.1570297169187,4.086945228884543,5,0.8613166782652808,False,62.71626132728655,0.0487123806966458,0.7570434598657624
2,2,14,23.05065272976287,2.557229865600642,5,0.8094143006539571,False,24.276495048173203,0.14180109912015174,-0.21352939426916784
2,2,15,20.85867499192179,5.179208184721524,1,0.7629380608766088,False,24.726202316233405,0.03660515043470819,-2.123349371213695
2,3,0,-0.0792827915418912,0.793981597742896,4,1.6407616555610136,False,0.038031837250657896,1.5862759065468817,1.205451534273506e-13
2,3,1,240.03402448507828,12.71302564953025,8,1.6263596991512168,False,223.75380935064163,0.004787152259906648,-3.088583042403405
2,3,2,313.41906460236726,15.891747217132568,8,1.5853277756429698,False,316.3803503510181,0.002923349535435634,0.28968264216495276
2,3,3,301.0560515460154,5.505745469263413,9,1.5233421482354133,False,299.4559185929787,0.008984118659068849,2.076478535264105
2,3,4,90.96074893049716,2.258767043132456,11,1.4476289481280349,False,92.157046791598,0.0788664133712186,1.2109766224893168
2,3,5,358.3775898695785,7.360997899620724,7,1.365062681279441,False,347.2383874584078,0.006059338405939028,-1.1694014451542885
2,3,6,718.2554270267738,10.050595572818995,12,1.2810606606149697,False,717.1683320925245,0.0017718570342016508,-2.741452631147914
2,3,7,10.761862049949103,1.02806903370731,11,1.1993099403414524,False,11.557134628824583,0.8534703959047456,-2.4335035177011153
2,3,8,94.85203150292112,2.5868079714359307,12,1.121994532226097,False,92.87327916791608,0.06865711242040134,3.0853870221756265
2,3,9,59.17294089690967,2.9107038872253583,6,1.0501929750913677,False,59.41732920459212,0.08590421379883015,1.6126924285588855
2,3,10,247.7591232668321,6.268042408072005,8,0.9842567314239102,False,252.59242986197702,0.010418759928646097,0.41031701753935884
2,3,11,37.77344401956774,2.365580591931645,7,0.9241009096952152,False,37.14239794362082,0.1459496131437025,-0.3093965616209671
2,3,12,84.908550773311,4.241982310022188,7,0.8694031843144023,False,86.61073683157552,0.04055558304884858,-0.6509541786588829
2,3,13,10.079257154031144,3.095860586205675,6,0.8197299183601766,False,12.084369486159465,0.10307530090635181,1.9129686461200548
2,3,14,10.396722815134549,3.803335271276216,1,0.774611445016187,False,9.344407648976258,0.06872873286511401,-3.137254899238659
2,4,0,20.3748339134676,2.119083389121195,4,1.3271059184503031,False,24.782510820823813,0.20081649920594177,3.141592653589792
2,4,1,283.97878539409805,5.874965335462628,8,1.3194503280581191,False,284.9743935868404,0.00930801017254802,0.04543001161573691
2,4,2,5.319502229760376,0.947064099075568,8,1.2972547897819988,False,5.4412620462457575,1.0832112065552257,-1.9384665064522197
2,4,3,104.10557449673422,3.122028924430548,8,1.2626278740164376,False,97.1820074382379,0.053603511732258795,-1.7866032090349149
2,4,4,221.81792406856923,4.846005344641339,9,1.2184999755087065,False,213.9039783887621,0.015224122110659398,1.590939689199605
2,4,5,167.62538640809117,5.904760251728158,11,1.1680230045731776,False,155.15435733403797,0.017328536117054594,2.787844734293657
2,4,6,27.153075341637035,1.4354329652700395,10,1.114089210426606,False,25.511143649917432,0.37430653680513576,0.6470414401664317
2,4,7,165.1433704237398,8.512374816802046,5,1.0590595129637004,False,187.62693557855943,0.00983638166394512,0.8706576900429969
2,4,8,151.67994764211994,5.980815820598552,4,1.004684644783764,False,160.53538838634657,0.01720593591452232,-1.1317157842206143
2,4,9,5.261393870307894,1.4479406751619155,5,0.952152029665302,False,7.311724956758657,0.46814891436837447,-1.4042116284210893
2,4,10,42.57991970087669,2.9812594821234297,5,0.9021905462871992,False,39.14855521144882,0.09662737463374363,-2.7759027689156515
2,4,11,18.323943046921475,2.250289876785656,5,0.8551865128937008,False,16.669659673715543,0.18759222291602912,-1.8334795426417794
2,4,12,26.98969494362725,2.805376380408408,6,0.8112867203143371,False,32.36551090367471,0.11479203624960131,2.44783619992236
2,4,13,-0.8698256020531805,1.6987403440449496,3,0.7704800076817074,False,0.6953030987411789,0.3465108959572885,-3.1413815136614676
2,5,0,321.03133275439905,13.8401865483297,2,1.1041665492927142,False,309.521868838067,0.0035723881974192196,3.141592653589793
2,5,1,170.12389016621697,4.531735425087046,8,1.099745535445002,False,169.75600750785676,0.021500963357723675,-1.7351926412893535
2,5,2,6.382750844097339,1.2387352570367802,7,1.086794465950368,False,6.993301220269385,0.6345355549011904,-1.7907496366631885
2,5,3,257.49664452142093,8.538336473331226,4,1.0661902606606075,False,251.7609744700851,0.007644203107937948,1.4198081863472551
2,5,4,82.48988506704198,4.391899359952082,4,1.0392186176135694,False,85.64603156354707,0.03886619176017718,-0.29413805951665617
2,5,5,46.35314961561305,3.4061498360052824,4,1.0073716948644909,False,48.794332955615914,0.07313262349524847,-0.05796918011270114
2,5,6,4.431298389806494,1.3628263845637314,6,0.9721553230522654,False,5.246732926747571,0.5320364498856203,0.6121353235545799
2,5,7,10.000996630425112,2.685021416938208,5,0.934944000192836,False,13.892272116709842,0.13601530269465065,-2.3750278391360986
2,5,8,19.45212445770762,3.3861266101897343,5,0.8968968387807011,False,15.95428446194972,0.08525406809532188,0.32957734281840284
2,5,9,20.71789695322393,2.362270428688799,5,0.8589278787507908,False,24.785485865974373,0.16462604341180193,2.66004764464286
2,5,10,0.62315628134534,1.150631493362804,5,0.8217147372984511,False,0.09044266058585329,0.7552770374109451,2.0524210417891093
2,5,11,5.244597279191299,2.2060787343755104,2,0.7857287380641089,False,5.370769870825398,0.20440120704124717,-1.5470151844890268
2,5,12,68.24724824244272,9.739787433201007,1,0.7512733478244713,False,71.92781109450736,0.010064187349010656,3.077792625794422
2,6,0,1.870005513158922,2.30993243926056,2,0.941243361167702,False,2.7903670164392755,0.1872189659297524,3.948662275952723e-15
2,6,1,112.85160643962182,5.5340474648524935,4,0.9385002929769573,False,107.26228495202501,0.024187777306433816,0.18656719046915674
2,6,2,163.89104457423244,6.905952488070759,4,0.930412782281362,False,161.44430716677473,0.01400803295150899,-1.57901756497529
2,6,3,5.687116675077704,1.7778716935274184,4,0.9173861092481946,False,4.5800552615008305,0.31418167209039943,-0.46635289644791866
2,6,4,4.035120048332627,1.7885265855398618,4,0.9000349651175901,False,2.578005857809675,0.31179115916623124,-0.2051304805503571
2,6,5,38.39871251060698,3.4269647023921967,4,0.8791084096861305,False,35.4456132482518,0.07728862109449265,-3.0903260485434263
2,6,6,8.53851298946388,2.0742609959985487,6,0.8554104903955139,False,10.911301866463653,0.22754484941398886,2.5304434250471233
2,6,7,11.311048778565986,2.151315780834639,5,0.8297306096053839,False,10.402184481579683,0.21135843029163387,-0.16653528073165433
