h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
0,6,1,2,76.48579646,6.54750979,74.75868923
0,6,2,4,13.0598669,5.952670906,5.193178536
0,6,3,2,15.39866751,3.715534857,19.82994219
0,6,4,4,5.010967668,2.930535057,8.352674654
0,6,5,2,60.37020463,6.030600657,64.4928052
0,6,6,4,71.49415244,6.73498888,62.88647785
0,6,7,1,60.61069681,4.123960234,57.51258947
0,6,8,3,29.55419158,3.921884325,20.23575486
0,6,9,3,1.827866277,1.949980839,1.598094929
0,6,10,1,52.04151547,8.395283877,55.12906113
0,6,11,2,2.515205519,3.086089477,0.005293926658
0,7,1,3,5.174483202,2.915458233,0.4034483105
0,7,2,3,51.38148942,5.92505011,56.80255725
0,7,3,4,12.76512442,3.846985205,13.43346228
0,7,4,3,13.60154346,4.652928016,10.67128193
0,7,5,4,46.7541006,5.799074296,37.12743393
0,7,7,2,1.539506001,2.549875569,3.679418406
0,7,8,0,23.87174428,6.122990945,28.46762846
1,0,1,4,1088.747741,20.24107049,1130.806275
1,0,2,4,160.9181097,8.192611561,267.9823154
1,0,3,4,1003.959826,16.22485369,979.8917975
1,0,4,3,123.1984553,3.341980684,119.5750954
1,0,5,3,1.214866701,0.9985785055,0.4093203699
1,0,6,4,635.9391914,13.21814385,598.3458607
1,0,7,0,40.55354755,1.983972346,40.51829325
1,0,8,0,64.49998538,2.111116148,63.55240137
1,0,9,0,30.38839597,1.586341658,40.57745183
1,0,10,3,149.1185681,4.139781237,137.2483839
1,0,11,1,82.37802285,3.131471955,79.31859376
1,0,12,0,74.8151231,3.633862552,69.8004823
1,0,13,1,18.75754188,2.058342819,16.2526405
1,0,14,4,36.76989493,3.342879519,32.22192272
1,0,15,1,69.57297376,4.555671544,78.5719683
1,0,16,2,1.441004865,1.732301377,2.334737041
1,1,0,2,100.4418117,5.104371313,72.94534652
1,1,1,4,194.1459398,3.716227181,208.0744431
1,1,2,0,157.1443291,3.294309345,143.1191983
1,1,3,2,1524.152466,18.19747749,1466.248238
1,1,4,0,215.6886266,3.329666962,201.6439171
1,1,5,3,589.0763974,7.195849452,579.1529599
1,1,6,0,23.73215555,2.664861921,31.16221227
1,1,7,3,418.8147792,5.401883547,418.7367667
1,1,8,4,281.5384245,3.88866661,269.8602649
1,1,9,2,279.0081858,4.073382101,276.335526
1,1,10,2,148.3303272,2.736337111,139.4088882
1,1,11,4,15.37515615,1.009216422,17.66787088
1,1,12,0,3.657140347,0.8559073489,3.351572866
1,1,13,4,126.4147232,3.677884235,125.1823309
1,1,14,0,22.03939639,1.882035995,17.70221815
1,1,15,2,58.52411875,3.974127065,59.43139881
1,1,16,4,39.05585438,6.9037446,47.68367052
